timestamp,current_position,target_position,error,effort
1775638086179752984,0.2000,0.2000,-0.0000,-98.1000
1775638086181376913,0.2000,0.2000,-0.0000,-98.1000
1775638086183048163,0.2000,0.2000,-0.0000,-98.1000
1775638086184810079,0.2000,0.2000,-0.0000,-98.1000
1775638086186606576,0.2000,0.2000,-0.0000,-98.1000
1775638086188304407,0.2000,0.2000,-0.0000,-98.1000
1775638086190079988,0.2000,0.2000,-0.0000,-98.1000
1775638086191608627,0.2000,0.2000,-0.0000,-98.1000
1775638086193346500,0.2000,0.2000,-0.0000,-98.1000
1775638086194898259,0.2000,0.2000,-0.0000,-98.1000
1775638086196451796,0.2000,0.2000,-0.0000,-98.1000
1775638086198068165,0.2000,0.2000,-0.0000,-98.1000
1775638086199889895,0.2000,0.2000,-0.0000,-98.1000
1775638086202329376,0.2000,0.2000,-0.0000,-98.1000
1775638086203857433,0.2000,0.2000,-0.0000,-98.1000
1775638086205592283,0.2000,0.2000,-0.0000,-98.1000
1775638086207279385,0.2000,0.2000,-0.0000,-98.1000
1775638086208869675,0.2000,0.2000,-0.0000,-98.1000
1775638086210582831,0.2000,0.2000,-0.0000,-98.1000
1775638086212327287,0.2000,0.2000,-0.0000,-98.1000
1775638086214189873,0.2000,0.2000,-0.0000,-98.1000
1775638086215771127,0.2000,0.2000,-0.0000,-98.1000
1775638086217301437,0.2000,0.2000,-0.0000,-98.1000
1775638086218799074,0.2000,0.2000,-0.0000,-98.1000
1775638086220236636,0.2000,0.2000,-0.0000,-98.1000
1775638086221882569,0.2000,0.2000,-0.0000,-98.1000
1775638086223643818,0.2000,0.2000,-0.0000,-98.1000
1775638086225479366,0.2000,0.2000,-0.0000,-98.1000
1775638086227204686,0.2000,0.2000,-0.0000,-98.1000
1775638086228852842,0.2000,0.2000,-0.0000,-98.1000
1775638086230588734,0.2000,0.2000,-0.0000,-98.1000
1775638086232197657,0.2000,0.2000,-0.0000,-98.1000
1775638086233676689,0.2000,0.2000,-0.0000,-98.1000
1775638086235249757,0.2000,0.2000,-0.0000,-98.1000
1775638086237080100,0.2000,0.2000,-0.0000,-98.1000
1775638086238584809,0.2000,0.2000,-0.0000,-98.1000
1775638086240003236,0.2000,0.2000,-0.0000,-98.1000
1775638086241960319,0.2000,0.2000,-0.0000,-98.1000
1775638086243831055,0.2000,0.2000,-0.0000,-98.1000
1775638086245534721,0.2000,0.2000,-0.0000,-98.1000
1775638086247330131,0.2000,0.2000,-0.0000,-98.1000
1775638086249382527,0.2000,0.2000,-0.0000,-98.1000
1775638086252315552,0.2000,0.2000,-0.0000,-98.1000
1775638086254250217,0.2000,0.2000,-0.0000,-98.1000
1775638086255827823,0.2000,0.2000,-0.0000,-98.1000
1775638086257382950,0.2000,0.2000,-0.0000,-98.1000
1775638086258790437,0.2000,0.2000,-0.0000,-98.1000
1775638086260082548,0.2000,0.2000,-0.0000,-98.1000
1775638086261721344,0.2000,0.2000,-0.0000,-98.1000
1775638086263277875,0.2000,0.2000,-0.0000,-98.1000
1775638086265343238,0.2000,0.2000,-0.0000,-98.1000
1775638086267182085,0.2000,0.2000,-0.0000,-98.1000
1775638086268928753,0.2000,0.2000,-0.0000,-98.1000
1775638086270435015,0.2000,0.2000,-0.0000,-98.1000
1775638086271957414,0.2000,0.2000,-0.0000,-98.1000
1775638086273468396,0.2000,0.2000,-0.0000,-98.1000
1775638086274886421,0.2000,0.2000,-0.0000,-98.1000
1775638086276344159,0.2000,0.2000,-0.0000,-98.1000
1775638086277957141,0.2000,0.2000,-0.0000,-98.1000
1775638086279438655,0.2000,0.2000,-0.0000,-98.1000
1775638086281439605,0.2000,0.2000,-0.0000,-98.1000
1775638086283101451,0.2000,0.2000,-0.0000,-98.1000
1775638086284517577,0.2000,0.2000,-0.0000,-98.1000
1775638086286150328,0.2000,0.2000,-0.0000,-98.1000
1775638086287864167,0.2000,0.2000,-0.0000,-98.1000
1775638086289511135,0.2000,0.2000,-0.0000,-98.1000
1775638086290967211,0.2000,0.2000,-0.0000,-98.1000
1775638086292522318,0.2000,0.2000,-0.0000,-98.1000
1775638086294411503,0.2000,0.2000,-0.0000,-98.1000
1775638086296553374,0.2000,0.2000,-0.0000,-98.1000
1775638086298036553,0.2000,0.2000,-0.0000,-98.1000
1775638086299647548,0.2000,0.2000,-0.0000,-98.1000
1775638086301658671,0.2000,0.2000,-0.0000,-98.1000
1775638086303178932,0.2000,0.2000,-0.0000,-98.1000
1775638086304747790,0.2000,0.2000,-0.0000,-98.1000
1775638086306585903,0.2000,0.2000,-0.0000,-98.1000
1775638086308132253,0.2000,0.2000,-0.0000,-98.1000
1775638086310159538,0.2000,0.2000,-0.0000,-98.1000
1775638086311945744,0.2000,0.2000,-0.0000,-98.1000
1775638086313614756,0.2000,0.2000,-0.0000,-98.1000
1775638086315307684,0.2000,0.2000,-0.0000,-98.1000
1775638086316927715,0.2000,0.2000,-0.0000,-98.1000
1775638086318522077,0.2000,0.2000,-0.0000,-98.1000
1775638086320221425,0.2000,0.2000,-0.0000,-98.1000
1775638086321783051,0.2000,0.2000,-0.0000,-98.1000
1775638086323353462,0.2000,0.2000,-0.0000,-98.1000
1775638086325088055,0.2000,0.2000,-0.0000,-98.1000
1775638086326904181,0.2000,0.2000,-0.0000,-98.1000
1775638086328649930,0.2000,0.2000,-0.0000,-98.1000
1775638086330903592,0.2000,0.2000,-0.0000,-98.1000
1775638086332462845,0.2000,0.2000,-0.0000,-98.1000
1775638086333901142,0.2000,0.2000,-0.0000,-98.1000
1775638086335504444,0.2000,0.2000,-0.0000,-98.1000
1775638086337259110,0.2000,0.2000,-0.0000,-98.1000
1775638086338956256,0.2000,0.2000,-0.0000,-98.1000
1775638086340960092,0.2000,0.2000,-0.0000,-98.1000
1775638086342732696,0.2000,0.2000,-0.0000,-98.1000
1775638086344382308,0.2000,0.2000,-0.0000,-98.1000
1775638086346166395,0.2000,0.2000,-0.0000,-98.1000
1775638086348200237,0.2000,0.2000,-0.0000,-98.1000
1775638086349686182,0.2000,0.2000,-0.0000,-98.1000
1775638086351144504,0.2000,0.2000,-0.0000,-98.1000
1775638086352855329,0.2000,0.2000,-0.0000,-98.1000
1775638086354627746,0.2000,0.2000,-0.0000,-98.1000
1775638086356247444,0.2000,0.2000,-0.0000,-98.1000
1775638086357960643,0.2000,0.2000,-0.0000,-98.1000
1775638086359595477,0.2000,0.2000,-0.0000,-98.1000
1775638086361536776,0.2000,0.2000,-0.0000,-98.1000
1775638086363140379,0.2000,0.2000,-0.0000,-98.1000
1775638086364769222,0.2000,0.2000,-0.0000,-98.1000
1775638086366329050,0.2000,0.2000,-0.0000,-98.1000
1775638086368107722,0.2000,0.2000,-0.0000,-98.1000
1775638086369848617,0.2000,0.2000,-0.0000,-98.1000
1775638086371868241,0.2000,0.2000,-0.0000,-98.1000
1775638086373619536,0.2000,0.2000,-0.0000,-98.1000
1775638086375716696,0.2000,0.2000,-0.0000,-98.1000
1775638086377912978,0.2000,0.2000,-0.0000,-98.1000
1775638086379690426,0.2000,0.2000,-0.0000,-98.1000
1775638086381485581,0.2000,0.2000,-0.0000,-98.1000
1775638086383097585,0.2000,0.2000,-0.0000,-98.1000
1775638086384976794,0.2000,0.2000,-0.0000,-98.1000
1775638086386762844,0.2000,0.2000,-0.0000,-98.1000
1775638086388472839,0.2000,0.2000,-0.0000,-98.1000
1775638086390053358,0.2000,0.2000,-0.0000,-98.1000
1775638086391570427,0.2000,0.2000,-0.0000,-98.1000
1775638086393346931,0.2000,0.2000,-0.0000,-98.1000
1775638086395185533,0.2000,0.2000,-0.0000,-98.1000
1775638086396773549,0.2000,0.2000,-0.0000,-98.1000
1775638086398195364,0.2000,0.2000,-0.0000,-98.1000
1775638086399941678,0.2000,0.2000,-0.0000,-98.1000
1775638086401921868,0.2000,0.2000,-0.0000,-98.1000
1775638086403604651,0.2000,0.2000,-0.0000,-98.1000
1775638086405109233,0.2000,0.2000,-0.0000,-98.1000
1775638086406622955,0.2000,0.2000,-0.0000,-98.1000
1775638086408020042,0.2000,0.2000,-0.0000,-98.1000
1775638086409627444,0.2000,0.2000,-0.0000,-98.1000
1775638086411131756,0.2000,0.2000,-0.0000,-98.1000
1775638086412863826,0.2000,0.2000,-0.0000,-98.1000
1775638086414847632,0.2000,0.2000,-0.0000,-98.1000
1775638086416291654,0.2000,0.2000,-0.0000,-98.1000
1775638086417922228,0.2000,0.2000,-0.0000,-98.1000
1775638086419499788,0.2000,0.2000,-0.0000,-98.1000
